danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor	takrub_gene_id	tetnig_gene_id	xipmac_gene_id
ENSDARG00000012403	ENSDART00000122774	6	ENSAMXG00000014920	ENSDARG00000012403	ENSGMOG00000007751	ENSGACG00000006992	ENSONIG00000015139	ENSORLG00000004287	ENSPFOG00000019333	ENSTRUG00000014634	ENSTNIG00000005027	ENSXMAG00000015783	
ENSDARG00000012827	ENSDART00000019699	5	ENSAMXG00000012824	ENSDARG00000012827	ENSGMOG00000013509	ENSGACG00000019244	ENSONIG00000009328	ENSORLG00000007194	ENSPFOG00000012920	ENSTRUG00000015365	ENSTNIG00000013005	ENSXMAG00000001395	
ENSDARG00000013015	ENSDART00000021089	8	ENSAMXG00000014080	ENSDARG00000013015	ENSGMOG00000000774	ENSGACG00000003573	ENSONIG00000008871	ENSORLG00000001868	ENSPFOG00000013395	ENSTRUG00000016302	ENSTNIG00000008469	ENSXMAG00000000522	
ENSDARG00000013079	ENSDART00000020192	9	ENSAMXG00000008945	ENSDARG00000013079	ENSGMOG00000003024	ENSGACG00000004173	ENSONIG00000018159	ENSORLG00000012648	ENSPFOG00000018440	ENSTRUG00000010073	ENSTNIG00000011845	ENSXMAG00000014666	
ENSDARG00000013150	ENSDART00000006288	7	ENSAMXG00000005181	ENSDARG00000013150	ENSGMOG00000009282	ENSGACG00000001768	ENSONIG00000002234	ENSORLG00000015982	ENSPFOG00000002575	ENSTRUG00000004927	ENSTNIG00000011641	ENSXMAG00000013293	
ENSDARG00000013240	ENSDART00000021969	6	ENSAMXG00000002268	ENSDARG00000013240	ENSGMOG00000001156	ENSGACG00000001495	ENSONIG00000004257	ENSORLG00000019946	ENSPFOG00000018133	ENSTRUG00000015224	ENSTNIG00000014717	ENSXMAG00000015574	
ENSDARG00000013310	ENSDART00000006615	6	ENSAMXG00000008102	ENSDARG00000013310	ENSGMOG00000000140	ENSGACG00000005435	ENSONIG00000006490	ENSORLG00000014084	ENSPFOG00000004860	ENSTRUG00000006321	ENSTNIG00000013628	ENSXMAG00000003618	
ENSDARG00000016177	ENSDART00000002728	5	ENSAMXG00000002271	ENSDARG00000016177	ENSGMOG00000001090	ENSGACG00000001486	ENSONIG00000004251	ENSORLG00000019961	ENSPFOG00000018072	ENSTRUG00000015303	ENSTNIG00000014719	ENSXMAG00000015541	
ENSDARG00000016415	ENSDART00000003252	7	ENSAMXG00000017957	ENSDARG00000016415	ENSGMOG00000010176	ENSGACG00000004439	ENSONIG00000008620	ENSORLG00000003925	ENSPFOG00000012901	ENSTRUG00000016922	ENSTNIG00000016010	ENSXMAG00000016835	
ENSDARG00000016443	ENSDART00000016791	8	ENSAMXG00000020949	ENSDARG00000016443	ENSGMOG00000016885	ENSGACG00000007652	ENSONIG00000011434	ENSORLG00000006318	ENSPFOG00000004476	ENSTRUG00000008951	ENSTNIG00000015210	ENSXMAG00000013796	
ENSDARG00000016721	ENSDART00000015559	5	ENSAMXG00000013857	ENSDARG00000016721	ENSGMOG00000009590	ENSGACG00000005763	ENSONIG00000007272	ENSORLG00000006164	ENSPFOG00000018930	ENSTRUG00000017567	ENSTNIG00000019083	ENSXMAG00000008900	
ENSDARG00000016753	ENSDART00000011534	6	ENSAMXG00000024731	ENSDARG00000016753	ENSGMOG00000007883	ENSGACG00000006233	ENSONIG00000011495	ENSORLG00000005758	ENSPFOG00000004346	ENSTRUG00000012941	ENSTNIG00000007044	ENSXMAG00000006013	
ENSDARG00000016775	ENSDART00000013418	9	ENSAMXG00000014751	ENSDARG00000016775	ENSGMOG00000009823	ENSGACG00000010437	ENSONIG00000001395	ENSORLG00000013184	ENSPFOG00000015147	ENSTRUG00000014255	ENSTNIG00000017238	ENSXMAG00000009596	
ENSDARG00000016936	ENSDART00000020389	19	ENSAMXG00000017072	ENSDARG00000016936	ENSGMOG00000010733	ENSGACG00000007309	ENSONIG00000009997	ENSORLG00000009600	ENSPFOG00000011299	ENSTRUG00000005508	ENSTNIG00000018120	ENSXMAG00000002326	
ENSDARG00000017034	ENSDART00000146451	6	ENSAMXG00000000587	ENSDARG00000017034	ENSGMOG00000012678	ENSGACG00000006260	ENSONIG00000008398	ENSORLG00000005056	ENSPFOG00000003709	ENSTRUG00000010592	ENSTNIG00000013693	ENSXMAG00000007483	
ENSDARG00000017165	ENSDART00000132393	5	ENSAMXG00000004261	ENSDARG00000017165	ENSGMOG00000001999	ENSGACG00000010738	ENSONIG00000000928	ENSORLG00000004483	ENSPFOG00000011069	ENSTRUG00000007859	ENSTNIG00000007468	ENSXMAG00000018089	
ENSDARG00000017180	ENSDART00000103596	6	ENSAMXG00000012420	ENSDARG00000017180	ENSGMOG00000011338	ENSGACG00000017295	ENSONIG00000009389	ENSORLG00000017682	ENSPFOG00000009741	ENSTRUG00000012253	ENSTNIG00000014839	ENSXMAG00000016426	
ENSDARG00000017522	ENSDART00000111517	6	ENSAMXG00000013841	ENSDARG00000017522	ENSGMOG00000000742	ENSGACG00000008676	ENSONIG00000007685	ENSORLG00000013577	ENSPFOG00000012661	ENSTRUG00000012998	ENSTNIG00000014029	ENSXMAG00000005765	
ENSDARG00000017696	ENSDART00000026726	5	ENSAMXG00000021243	ENSDARG00000017696	ENSGMOG00000017588	ENSGACG00000012761	ENSONIG00000019525	ENSORLG00000019107	ENSPFOG00000012932	ENSTRUG00000011153	ENSTNIG00000008917	ENSXMAG00000009245	
ENSDARG00000017886	ENSDART00000008841	5	ENSAMXG00000011813	ENSDARG00000017886	ENSGMOG00000003866	ENSGACG00000013636	ENSONIG00000019328	ENSORLG00000015676	ENSPFOG00000000687	ENSTRUG00000004329	ENSTNIG00000013775	ENSXMAG00000016418	
ENSDARG00000018162	ENSDART00000016057	7	ENSAMXG00000003430	ENSDARG00000018162	ENSGMOG00000016992	ENSGACG00000005928	ENSONIG00000002117	ENSORLG00000003458	ENSPFOG00000004435	ENSTRUG00000010980	ENSTNIG00000003145	ENSXMAG00000002715	
ENSDARG00000018296	ENSDART00000059652	6	ENSAMXG00000005365	ENSDARG00000018296	ENSGMOG00000012562	ENSGACG00000002904	ENSONIG00000014152	ENSORLG00000012211	ENSPFOG00000015784	ENSTRUG00000014309	ENSTNIG00000013870	ENSXMAG00000011456	
ENSDARG00000018430	ENSDART00000043815	6	ENSAMXG00000018682	ENSDARG00000018430	ENSGMOG00000019541	ENSGACG00000011834	ENSONIG00000016767	ENSORLG00000015014	ENSPFOG00000007268	ENSTRUG00000006927	ENSTNIG00000012476	ENSXMAG00000011484	
ENSDARG00000018738	ENSDART00000016167	5	ENSAMXG00000005695	ENSDARG00000018738	ENSGMOG00000013193	ENSGACG00000020757	ENSONIG00000017380	ENSORLG00000014405	ENSPFOG00000001223	ENSTRUG00000007890	ENSTNIG00000007647	ENSXMAG00000013415	
ENSDARG00000019000	ENSDART00000019786	12	ENSAMXG00000004461	ENSDARG00000019000	ENSGMOG00000014733	ENSGACG00000018708	ENSONIG00000016298	ENSORLG00000015257	ENSPFOG00000004084	ENSTRUG00000006942	ENSTNIG00000010583	ENSXMAG00000006978	
ENSDARG00000019038	ENSDART00000020342	6	ENSAMXG00000014779	ENSDARG00000019038	ENSGMOG00000008456	ENSGACG00000012637	ENSONIG00000002075	ENSORLG00000010788	ENSPFOG00000011117	ENSTRUG00000006937	ENSTNIG00000012629	ENSXMAG00000014056	
ENSDARG00000019300	ENSDART00000020703	5	ENSAMXG00000024534	ENSDARG00000019300	ENSGMOG00000000248	ENSGACG00000009942	ENSONIG00000006035	ENSORLG00000012191	ENSPFOG00000019082	ENSTRUG00000017976	ENSTNIG00000010756	ENSXMAG00000017503	
ENSDARG00000019501	ENSDART00000031456	5	ENSAMXG00000020129	ENSDARG00000019501	ENSGMOG00000019179	ENSGACG00000020650	ENSONIG00000004962	ENSORLG00000005917	ENSPFOG00000018811	ENSTRUG00000017037	ENSTNIG00000010000	ENSXMAG00000010981	
ENSDARG00000019834	ENSDART00000105322	9	ENSAMXG00000008107	ENSDARG00000019834	ENSGMOG00000004831	ENSGACG00000009631	ENSONIG00000000507	ENSORLG00000005690	ENSPFOG00000017678	ENSTRUG00000001948	ENSTNIG00000013342	ENSXMAG00000012589	
ENSDARG00000019962	ENSDART00000010778	10	ENSAMXG00000008795	ENSDARG00000019962	ENSGMOG00000006241	ENSGACG00000005136	ENSONIG00000000072	ENSORLG00000002001	ENSPFOG00000019293	ENSTRUG00000000723	ENSTNIG00000006872	ENSXMAG00000006960	
ENSDARG00000020084	ENSDART00000016386	5	ENSAMXG00000018497	ENSDARG00000020084	ENSGMOG00000011376	ENSGACG00000000896	ENSONIG00000002144	ENSORLG00000016919	ENSPFOG00000002739	ENSTRUG00000016267	ENSTNIG00000002643	ENSXMAG00000007509	
ENSDARG00000020771	ENSDART00000015827	6	ENSAMXG00000002151	ENSDARG00000020771	ENSGMOG00000015684	ENSGACG00000013743	ENSONIG00000009896	ENSORLG00000016268	ENSPFOG00000006777	ENSTRUG00000003799	ENSTNIG00000015254	ENSXMAG00000015856	
ENSDARG00000021239	ENSDART00000019165	6	ENSAMXG00000015838	ENSDARG00000021239	ENSGMOG00000002190	ENSGACG00000019839	ENSONIG00000011426	ENSORLG00000015449	ENSPFOG00000007334	ENSTRUG00000013192	ENSTNIG00000011007	ENSXMAG00000018504	
ENSDARG00000021402	ENSDART00000008053	8	ENSAMXG00000006100	ENSDARG00000021402	ENSGMOG00000012627	ENSGACG00000002570	ENSONIG00000016836	ENSORLG00000014980	ENSPFOG00000012860	ENSTRUG00000005210	ENSTNIG00000011557	ENSXMAG00000015028	
ENSDARG00000021945	ENSDART00000019620	5	ENSAMXG00000017597	ENSDARG00000021945	ENSGMOG00000009592	ENSGACG00000003024	ENSONIG00000017048	ENSORLG00000012330	ENSPFOG00000012159	ENSTRUG00000000455	ENSTNIG00000019621	ENSXMAG00000017387	
ENSDARG00000022203	ENSDART00000074200	6	ENSAMXG00000007482	ENSDARG00000022203	ENSGMOG00000013638	ENSGACG00000020844	ENSONIG00000013267	ENSORLG00000015316	ENSPFOG00000001233	ENSTRUG00000010068	ENSTNIG00000004695	ENSXMAG00000015294	
ENSDARG00000022410	ENSDART00000034829	5	ENSAMXG00000012852	ENSDARG00000022410	ENSGMOG00000004188	ENSGACG00000007175	ENSONIG00000009528	ENSORLG00000008688	ENSPFOG00000014975	ENSTRUG00000012017	ENSTNIG00000016522	ENSXMAG00000013498	
ENSDARG00000022730	ENSDART00000036350	6	ENSAMXG00000005470	ENSDARG00000022730	ENSGMOG00000018953	ENSGACG00000014331	ENSONIG00000002923	ENSORLG00000001947	ENSPFOG00000016997	ENSTRUG00000015712	ENSTNIG00000017647	ENSXMAG00000016856	
ENSDARG00000023104	ENSDART00000035382	8	ENSAMXG00000000557	ENSDARG00000023104	ENSGMOG00000006763	ENSGACG00000010509	ENSONIG00000015249	ENSORLG00000007912	ENSPFOG00000003057	ENSTRUG00000008486	ENSTNIG00000008381	ENSXMAG00000003057	
ENSDARG00000024829	ENSDART00000029006	5	ENSAMXG00000002137	ENSDARG00000024829	ENSGMOG00000015513	ENSGACG00000013750	ENSONIG00000009909	ENSORLG00000016248	ENSPFOG00000006449	ENSTRUG00000002590	ENSTNIG00000015253	ENSXMAG00000015830	
ENSDARG00000025011	ENSDART00000042829	10	ENSAMXG00000008208	ENSDARG00000025011	ENSGMOG00000014852	ENSGACG00000020575	ENSONIG00000004667	ENSORLG00000004320	ENSPFOG00000016886	ENSTRUG00000006907	ENSTNIG00000009940	ENSXMAG00000017524	
ENSDARG00000025269	ENSDART00000028592	5	ENSAMXG00000020580	ENSDARG00000025269	ENSGMOG00000010373	ENSGACG00000005555	ENSONIG00000002317	ENSORLG00000011651	ENSPFOG00000008147	ENSTRUG00000013431	ENSTNIG00000016975	ENSXMAG00000003000	
ENSDARG00000026053	ENSDART00000099350	5	ENSAMXG00000006359	ENSDARG00000026053	ENSGMOG00000012840	ENSGACG00000010755	ENSONIG00000000740	ENSORLG00000012329	ENSPFOG00000013939	ENSTRUG00000014279	ENSTNIG00000019430	ENSXMAG00000009324	
ENSDARG00000026180	ENSDART00000026434	23	ENSAMXG00000020291	ENSDARG00000026180	ENSGMOG00000002028	ENSGACG00000008504	ENSONIG00000008153	ENSORLG00000008036	ENSPFOG00000007005	ENSTRUG00000015906	ENSTNIG00000003460	ENSXMAG00000008505	
ENSDARG00000026224	ENSDART00000020998	6	ENSAMXG00000017352	ENSDARG00000026224	ENSGMOG00000008107	ENSGACG00000011591	ENSONIG00000014637	ENSORLG00000011648	ENSPFOG00000014934	ENSTRUG00000000347	ENSTNIG00000012159	ENSXMAG00000000936	
ENSDARG00000027353	ENSDART00000102045	6	ENSAMXG00000005469	ENSDARG00000027353	ENSGMOG00000015727	ENSGACG00000001363	ENSONIG00000015731	ENSORLG00000012930	ENSPFOG00000006133	ENSTRUG00000015685	ENSTNIG00000015677	ENSXMAG00000014819	
ENSDARG00000027689	ENSDART00000055859	5	ENSAMXG00000000544	ENSDARG00000027689	ENSGMOG00000014471	ENSGACG00000012911	ENSONIG00000019377	ENSORLG00000011359	ENSPFOG00000007750	ENSTRUG00000006759	ENSTNIG00000011628	ENSXMAG00000011702	
ENSDARG00000027777	ENSDART00000033528	7	ENSAMXG00000014966	ENSDARG00000027777	ENSGMOG00000018755	ENSGACG00000010558	ENSONIG00000000871	ENSORLG00000004784	ENSPFOG00000012492	ENSTRUG00000010869	ENSTNIG00000007481	ENSXMAG00000018214	
ENSDARG00000028507	ENSDART00000029308	9	ENSAMXG00000014285	ENSDARG00000028507	ENSGMOG00000005371	ENSGACG00000005054	ENSONIG00000019600	ENSORLG00000020765	ENSPFOG00000018521	ENSTRUG00000005807	ENSTNIG00000011514	ENSXMAG00000012430	
ENSDARG00000028533	ENSDART00000054274	27	ENSAMXG00000002936	ENSDARG00000028533	ENSGMOG00000000559	ENSGACG00000001993	ENSONIG00000004989	ENSORLG00000007324	ENSPFOG00000000306	ENSTRUG00000005469	ENSTNIG00000006990	ENSXMAG00000016452	
ENSDARG00000029157	ENSDART00000135760	11	ENSAMXG00000010598	ENSDARG00000029157	ENSGMOG00000006473	ENSGACG00000013187	ENSONIG00000000683	ENSORLG00000017103	ENSPFOG00000010598	ENSTRUG00000014457	ENSTNIG00000010947	ENSXMAG00000007112	
ENSDARG00000029556	ENSDART00000060633	6	ENSAMXG00000003175	ENSDARG00000029556	ENSGMOG00000005793	ENSGACG00000010919	ENSONIG00000011688	ENSORLG00000011216	ENSPFOG00000011497	ENSTRUG00000001911	ENSTNIG00000010820	ENSXMAG00000001779	
ENSDARG00000030153	ENSDART00000040445	9	ENSAMXG00000007331	ENSDARG00000030153	ENSGMOG00000003643	ENSGACG00000019866	ENSONIG00000000050	ENSORLG00000015673	ENSPFOG00000010807	ENSTRUG00000012120	ENSTNIG00000011416	ENSXMAG00000001470	
ENSDARG00000030945	ENSDART00000091772	14	ENSAMXG00000004053	ENSDARG00000030945	ENSGMOG00000010562	ENSGACG00000011002	ENSONIG00000013154	ENSORLG00000004656	ENSPFOG00000009779	ENSTRUG00000001972	ENSTNIG00000016222	ENSXMAG00000019085	
ENSDARG00000031886	ENSDART00000046546	9	ENSAMXG00000000472	ENSDARG00000031886	ENSGMOG00000013794	ENSGACG00000008423	ENSONIG00000020012	ENSORLG00000007425	ENSPFOG00000014726	ENSTRUG00000014865	ENSTNIG00000012812	ENSXMAG00000019061	
ENSDARG00000032459	ENSDART00000106375	6	ENSAMXG00000012180	ENSDARG00000032459	ENSGMOG00000006520	ENSGACG00000008529	ENSONIG00000019926	ENSORLG00000008227	ENSPFOG00000016585	ENSTRUG00000016382	ENSTNIG00000012846	ENSXMAG00000011374	
ENSDARG00000032704	ENSDART00000045615	5	ENSAMXG00000018896	ENSDARG00000032704	ENSGMOG00000016395	ENSGACG00000013299	ENSONIG00000011726	ENSORLG00000017825	ENSPFOG00000006595	ENSTRUG00000004015	ENSTNIG00000005421	ENSXMAG00000018661	
ENSDARG00000033099	ENSDART00000041577	10	ENSAMXG00000021552	ENSDARG00000033099	ENSGMOG00000009645	ENSGACG00000015929	ENSONIG00000005673	ENSORLG00000009302	ENSPFOG00000017895	ENSTRUG00000018115	ENSTNIG00000009294	ENSXMAG00000013974	
ENSDARG00000033418	ENSDART00000009386	6	ENSAMXG00000020177	ENSDARG00000033418	ENSGMOG00000003830	ENSGACG00000017544	ENSONIG00000003302	ENSORLG00000018706	ENSPFOG00000001094	ENSTRUG00000005785	ENSTNIG00000002554	ENSXMAG00000017317	
ENSDARG00000034001	ENSDART00000042496	5	ENSAMXG00000003736	ENSDARG00000034001	ENSGMOG00000014362	ENSGACG00000014081	ENSONIG00000004199	ENSORLG00000014833	ENSPFOG00000001019	ENSTRUG00000000869	ENSTNIG00000007180	ENSXMAG00000006148	
ENSDARG00000034178	ENSDART00000024861	5	ENSAMXG00000008485	ENSDARG00000034178	ENSGMOG00000000796	ENSGACG00000008703	ENSONIG00000007676	ENSORLG00000013544	ENSPFOG00000012870	ENSTRUG00000013134	ENSTNIG00000014027	ENSXMAG00000005798	
ENSDARG00000035285	ENSDART00000097574	8	ENSAMXG00000019642	ENSDARG00000035285	ENSGMOG00000010680	ENSGACG00000020260	ENSONIG00000012828	ENSORLG00000011992	ENSPFOG00000018684	ENSTRUG00000000700	ENSTNIG00000008537	ENSXMAG00000005388	
ENSDARG00000035330	ENSDART00000051196	13	ENSAMXG00000007593	ENSDARG00000035330	ENSGMOG00000016233	ENSGACG00000020377	ENSONIG00000004304	ENSORLG00000008417	ENSPFOG00000002932	ENSTRUG00000015603	ENSTNIG00000011788	ENSXMAG00000011406	
